venue_name,url,location
McMenamin's Crystal Ballroom,https://www.mcmenamins.com/,"Portland, OR"
Mississippi Studios,https://www.mississippistudios.com/,"Portland, OR"
Polaris Hall,https://www.mississippistudios.com/,"Portland, OR"
Doug Fir Lounge,https://www.dougfirlounge.com/,"Portland, OR"
Wonder Ballroom,https://wonderballroom.com/,"Portland, OR"
Holocene,http://www.holocene.org/,"Portland, OR"
Roseland Theater,http://roselandpdx.com/,"Portland, OR"
Observatory North Park,https://www.observatorysd.com/,"San Diego, CA"
Soda Bar,https://www.sodabarmusic.com/,"San Diego, CA"
Music Box,https://musicboxsd.com/,"San Diego, CA"
Mohawk,https://www.mohawkaustin.com/,"Austin, TX"
The Parish,https://www.theparishaustin.com/,"Austin, TX"
Hotel Vegas,https://texashotelvegas.com/,"Austin, TX"
Emo's,https://www.emosaustin.com/,"Austin, TX"
